"","HPCCodes","OMFS"
"354","A5112",0
"355","A5113",0
"356","A5114",0
"357","A5120",0
"358","A5121",0
"359","A5122",0
"360","A5126",0
"361","A5131",0
"362","A5200",0
"363","A5500",0
"364","A5501",0
"365","A5503",0
"366","A5504",0
"367","A5505",0
"368","A5506",0
"369","A5507",0
"370","A5508",0
"371","A5510",0
"372","A5512",0
"373","A5513",0
"374","A5514",0
"375","A6000",0
"376","A6010",0
"377","A6011",0
"378","A6021",0
"379","A6022",0
"380","A6023",0
"381","A6024",0
"382","A6025",0
"383","A6154",0
"384","A6196",0
"385","A6197",0
"386","A6198",0
"387","A6199",0
"388","A6203",0
"389","A6204",0
"390","A6205",0
"391","A6206",0
"392","A6207",0
"393","A6208",0
"394","A6209",0
"395","A6210",0
"396","A6211",0
"397","A6212",0
"398","A6213",0
"399","A6214",0
"400","A6215",0
"401","A6216",0
"402","A6217",0
"403","A6218",0
"404","A6219",0
"405","A6220",0
"406","A6221",0
"407","A6222",0
"408","A6223",0
"409","A6224",0
"410","A6228",0
"411","A6229",0
"412","A6230",0
"413","A6231",0
"414","A6232",0
"415","A6233",0
"416","A6234",0
"417","A6235",0
"418","A6236",0
"419","A6237",0
"420","A6238",0
"421","A6239",0
"422","A6240",0
"423","A6241",0
"424","A6242",0
"425","A6243",0
"426","A6244",0
"427","A6245",0
"428","A6246",0
"429","A6247",0
"430","A6248",0
"431","A6250",0
"432","A6251",0
"433","A6252",0
"434","A6253",0
"435","A6254",0
"436","A6255",0
"437","A6256",0
"438","A6257",0
"439","A6258",0
"440","A6259",0
"441","A6260",0
"442","A6261",0
"443","A6262",0
"444","A6266",0
"445","A6402",0
"446","A6403",0
"447","A6404",0
"448","A6407",0
"449","A6410",0
"450","A6411",0
"451","A6412",0
"452","A6413",0
"453","A6441",0
"454","A6442",0
"455","A6443",0
"456","A6444",0
"457","A6445",0
"458","A6446",0
"459","A6447",0
"460","A6448",0
"461","A6449",0
"462","A6450",0
"463","A6451",0
"464","A6452",0
"465","A6453",0
"466","A6454",0
"467","A6455",0
"468","A6456",0
"469","A6457",0
"470","A6460",0
"471","A6461",0
"472","A6501",0
"473","A6502",0
"474","A6503",0
"475","A6504",0
"476","A6505",0
"477","A6506",0
"478","A6507",0
"479","A6508",0
"480","A6509",0
"481","A6510",0
"482","A6511",0
"483","A6512",0
"484","A6513",0
"485","A6530",0
"486","A6531",0
"487","A6532",0
"488","A6533",0
"489","A6534",0
"490","A6535",0
"491","A6536",0
"492","A6537",0
"493","A6538",0
"494","A6539",0
"495","A6540",0
"496","A6541",0
"497","A6544",0
"498","A6545",0
"499","A6549",0
"500","A6550",0
"501","A7000",0
"502","A7001",0
"503","A7002",0
"504","A7003",0
"505","A7004",0
"506","A7005",0
"507","A7006",0
"508","A7007",0
"509","A7008",0
"510","A7009",0
"511","A7010",0
"512","A7012",0
"513","A7013",0
"514","A7014",0
"515","A7015",0
"516","A7016",0
"517","A7017",0
"518","A7018",0
"519","A7020",0
"520","A7025",0
"521","A7026",0
"522","A7027",0
"523","A7028",0
"524","A7029",0
"525","A7030",0
"526","A7031",0
"527","A7032",0
"528","A7033",0
"529","A7034",0
"530","A7035",0
"531","A7036",0
"532","A7037",0
"533","A7038",0
"534","A7039",0
"535","A7040",0
"536","A7041",0
"537","A7044",0
"538","A7045",0
"539","A7046",0
"540","A7047",0
"541","A7048",0
"542","A7501",0
"543","A7502",0
"544","A7503",0
"545","A7504",0
"546","A7505",0
"547","A7506",0
"548","A7507",0
"549","A7508",0
"550","A7509",0
"551","A7520",0
"552","A7521",0
"553","A7522",0
"554","A7523",0
"555","A7524",0
"556","A7525",0
"557","A7526",0
"558","A7527",0
"559","A8000",0
"560","A8001",0
"561","A8002",0
"562","A8003",0
"563","A8004",0
"564","A9150",0
"565","A9152",0
"566","A9153",0
"567","A9155",0
"568","A9180",0
"569","A9270",0
"570","A9272",0
"571","A9273",0
"572","A9274",0
"573","A9275",0
"574","A9276",0
"575","A9277",0
"576","A9278",0
"577","A9279",0
"578","A9280",0
"579","A9281",0
"580","A9282",0
"581","A9283",0
"582","A9284",0
"583","A9285",0
"584","A9286",0
"585","A9300",0
"586","A9500",0
"587","A9501",0
"588","A9502",0
"589","A9503",0
"590","A9504",0
"591","A9505",0
"592","A9507",0
"593","A9508",0
"594","A9509",0
"595","A9510",0
"596","A9512",0
"597","A9513",0
"598","A9515",0
