"","V2","V7"
"278",11051,"43.61"
"279",11052,"58.14"
"280",11100,"61.2"
"281",11101,"43.61"
"282",11200,"45.9"
"283",11201,"29.07"
"284",11300,"15.3"
"285",11301,"30.6"
"286",11302,"30.6"
"287",11303,"45.9"
"288",11305,"30.6"
"289",11306,"30.6"
"290",11307,"45.9"
"291",11308,"45.9"
"292",11310,"30.6"
"293",11311,"30.6"
"294",11312,"45.9"
"295",11313,"45.9"
"296",11400,"76.5"
"297",11401,"91.8"
"298",11402,"122.4"
"299",11403,"153"
"300",11404,"204.25"
"301",11406,"290.7"
"302",11420,"76.5"
"303",11421,"91.8"
"304",11422,"122.4"
"305",11423,"183.6"
"306",11424,"247.1"
"307",11426,"348.84"
"308",11440,"91.8"
"309",11441,"122.4"
"310",11442,"153"
"311",11443,"198.9"
"312",11444,"260.1"
"313",11446,"363.52"
"314",11450,"421.52"
"315",11451,"367.2"
"316",11462,"377.91"
"317",11463,"321.3"
"318",11470,"377.91"
"319",11471,"321.3"
"320",11600,"122.4"
"321",11601,"137.7"
"322",11602,"168.3"
"323",11603,"214.2"
"324",11604,"261.63"
"325",11606,"392.45"
"326",11620,"162.09"
"327",11621,"189.78"
"328",11622,"218.03"
"329",11623,"276.17"
"330",11624,"348.84"
"331",11626,"421.52"
"332",11640,"188.96"
"333",11641,"232.56"
"334",11642,"305.24"
"335",11643,"363.38"
"336",11644,"406.98"
"337",11646,"500.39"
"338",11720,"29.07"
"339",11721,"43.61"
"340",11730,"61.2"
"341",11731,"43.61"
"342",11732,"30.6"
"343",11740,"43.61"
"344",11750,"203.49"
"345",11752,"276.17"
"346",11755,"91.8"
"347",11760,"218.03"
"348",11762,"334.31"
"349",11765,"145.35"
"350",11770,"377.91"
"351",11771,"537.8"
"352",11772,"625.21"
"353",11900,"30.6"
"354",11901,"60.88"
"355",11920,"363.38"
"356",11921,"712.22"
"357",11922,"363.38"
"358",11950,"130.82"
"359",11951,"174.42"
"360",11952,"218.03"
"361",11954,"BR"
"362",11960,"BR"
"363",11970,"1104.66"
"364",11971,"168.3"
"365",11975,"76.5"
"366",11976,"76.5"
"367",11977,"122.4"
"368",12001,"61.2"
"369",12002,"76.5"
"370",12004,"122.4"
"371",12005,"153"
"372",12006,"214.2"
"373",12007,"BR"
"374",12011,"91.8"
"375",12013,"122.4"
"376",12014,"168.3"
"377",12015,"214.2"
"378",12016,"319.77"
"379",12017,"494.19"
"380",12018,"BR"
"381",12020,"153"
"382",12021,"159.89"
"383",12031,"91.8"
"384",12032,"122.4"
"385",12034,"168.3"
"386",12035,"214.2"
"387",12036,"275.4"
"388",12037,"336.6"
"389",12041,"107.1"
"390",12042,"153"
"391",12044,"198.9"
"392",12045,"260.1"
"393",12046,"351.9"
"394",12047,"382.5"
"395",12051,"122.4"
"396",12052,"168.3"
"397",12053,"214.2"
"398",12054,"319.77"
"399",12055,"479.66"
"400",12056,"515.13"
"401",12057,"BR"
"402",13100,"122.4"
"403",13101,"244.8"
"404",13120,"229.5"
"405",13121,"351.9"
"406",13131,"244.8"
"407",13132,"499.31"
"408",13150,"198.9"
"409",13151,"306"
"410",13152,"610.47"
"411",13160,"443.7"
"412",13300,"BR"
"413",14000,"397.8"
"414",14001,"596.7"
"415",14020,"596.7"
"416",14021,"795.6"
"417",14040,"709.5"
"418",14041,"973.85"
"419",14060,"857.57"
"420",14061,"1206.41"
"421",14300,"BR"
"422",14350,"673.2"
"423",15000,"BR"
"424",15050,"122.4"
"425",15100,"504.9"
"426",15101,"290.7"
"427",15120,"872.1"
"428",15121,"363.38"
"429",15200,"413.1"
"430",15201,"218.03"
"431",15220,"596.7"
"432",15221,"276.17"
"433",15240,"810.9"
"434",15241,"377.91"
"435",15260,"857.86"
"436",15261,"465.12"
"437",15350,"BR"
"438",15400,"BR"
"439",15570,"826.2"
"440",15572,"810.36"
"441",15574,"872.1"
"442",15576,"901.17"
"443",15580,"741.29"
"444",15600,"397.8"
"445",15610,"465.12"
"446",15620,"784.89"
"447",15625,"784.89"
"448",15630,"784.89"
"449",15650,"566.87"
"450",15732,"1422.9"
"451",15734,"1269.9"
"452",15736,"1269.9"
"453",15738,"1269.9"
"454",15740,"1133.73"
"455",15750,"944.78"
"456",15756,"BR"
"457",15757,"3401.19"
"458",15758,"3750.03"
"459",15760,"944.78"
"460",15770,"857.57"
"461",15775,"91.8"
"462",15776,"BR"
"463",15780,"1133.73"
"464",15781,"382.5"
"465",15782,"382.5"
"466",15783,"336.6"
"467",15786,"61.2"
"468",15787,"30.6"
"469",15788,"944.78"
"470",15789,"1148.27"
"471",15792,"290.7"
"472",15793,"351.9"
"473",15810,"712.22"
"474",15811,"1075.59"
"475",15819,"673.2"
"476",15820,"516.3"
"477",15821,"566.87"
"478",15822,"755.82"
"479",15823,"639.54"
"480",15824,"944.78"
"481",15825,"1133.73"
"482",15826,"1002.92"
"483",15828,"2630.84"
"484",15829,"2921.54"
"485",15831,"2136.65"
"486",15832,"1002.92"
"487",15833,"1002.92"
"488",15834,"1002.92"
"489",15835,"1002.92"
"490",15836,"1002.92"
"491",15837,"673.2"
"492",15838,"566.87"
"493",15839,"BR"
"494",15840,"1569.78"
"495",15841,"1787.81"
"496",15842,"2249.1"
"497",15845,"1787.81"
"498",15850,"30.6"
"499",15851,"61.2"
"500",15852,"BR"
"501",15860,"145.35"
"502",15876,"BR"
"503",15877,"BR"
"504",15878,"BR"
"505",15879,"BR"
"506",15920,"583.03"
"507",15922,"1002.92"
"508",15931,"712.22"
"509",15933,"930.24"
"510",15934,"1002.92"
"511",15935,"1206.41"
"512",15936,"673.2"
"513",15937,"902.7"
"514",15940,"712.22"
"515",15941,"930.24"
"516",15944,"1002.92"
"517",15945,"1206.41"
"518",15946,"673.2"
"519",15950,"712.22"
"520",15951,"930.24"
"521",15952,"1002.92"
"522",15953,"1206.41"
"523",15956,"673.2"
"524",15958,"902.7"
"525",15999,"BR"
"526",16000,"45.9"
"527",16010,"116.28"
"528",16015,"232.56"
"529",16020,"45.9"
"530",16025,"61.2"
"531",16030,"153"
"532",16035,"363.38"
"533",16040,"116.28"
"534",16041,"174.42"
"535",16042,"174.42"
"536",17000,"45.9"
"537",17001,"29.07"
"538",17002,"14.54"
"539",17010,"72.68"
"540",17100,"43.61"
"541",17101,"14.54"
"542",17102,"14.54"
"543",17104,"BR"
"544",17105,"145.35"
"545",17106,"244.8"
"546",17107,"443.7"
"547",17108,"673.2"
"548",17110,"45.9"
"549",17200,"43.61"
"550",17201,"14.54"
"551",17250,"45.9"
"552",17260,"45.9"
"553",17261,"45.9"
"554",17262,"61.2"
"555",17263,"76.5"
